ID,Species,Standard Length
1,S. acapulcoensis,123
2,S. acapulcoensis,121
3,S. acapulcoensis,84
4,S. acapulcoensis,72
5,S. acapulcoensis,76
6,S. acapulcoensis,135
7,S. acapulcoensis,122
8,S. acapulcoensis,117
9,S. acapulcoensis,111
10,S. acapulcoensis,120
11,S. acapulcoensis,112
12,S. acapulcoensis,130
13,S. acapulcoensis,113
14,S. acapulcoensis,115
15,S. acapulcoensis,120
16,S. acapulcoensis,106
17,S. acapulcoensis,118
18,S. acapulcoensis,116
19,S. acapulcoensis,108
20,S. acapulcoensis,94
21,S. acapulcoensis,115
22,S. acapulcoensis,107
23,S. acapulcoensis,121
24,S. acapulcoensis,107
25,S. acapulcoensis,124
26,S. acapulcoensis,120
27,S. acapulcoensis,121
28,S. acapulcoensis,124
29,S. acapulcoensis,132
30,S. acapulcoensis,112
31,S. acapulcoensis,114
32,S. flavilatus,90
33,S. flavilatus,76
34,S. flavilatus,77
35,S. flavilatus,81
36,S. flavilatus,78
37,S. flavilatus,84
38,S. flavilatus,104
39,S. flavilatus,94
40,S. flavilatus,93
41,S. flavilatus,91
42,S. flavilatus,103
43,S. flavilatus,100
44,S. flavilatus,93
45,S. flavilatus,100
46,S. flavilatus,96
47,S. flavilatus,100
48,S. flavilatus,86
49,S. flavilatus,83
50,S. flavilatus,94
51,S. flavilatus,99
52,S. flavilatus,74
53,S. flavilatus,78
54,S. flavilatus,72
